Simbolo;Nombre;Sector;Industria
MOFG;MidWestOne Financial Gp;Finanzas;Grandes bancos
CPSI;Computer Programs and Systems, Inc.;Tecnologia;Servicios EDP
BARK;BARK, Inc.;Servicios al consumidor;Grandes almacenes/tiendas especializadas
RTLR;Rattler Midstream LP Common Units;Energia;Servicios/equipos petroliferos
VGII;Virgin Group Acquisition Corp. II Ordinary Shares;NO APLICABLE;NO DISPONIBLE
AKRO;Akero Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
FSBC;Five Star Bancorp;Finanzas;Bancos
PDOT;Peridot Acquisition Corp. II Ordinary Shares;NO APLICABLE;NO DISPONIBLE
REE;REE Automotive Ltd. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
ALRS;Alerus Financial Corporation;Finanzas;Bancos comerciales
IBCP;Independent Bank Corporation;Finanzas;Grandes bancos
HTBI;HomeTrust Bancshares, Inc.;Finanzas;Instituciones de ahorro
MUA;Blackrock MuniAssets Fund, Inc;Finanzas;#N/D
ZEAL;Zealand Pharma A/S American Depositary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
TCVA;TCV Acquisition Corp. Ordinary Shares;Finanzas;Servicios a empresas
IMPX;AEA-Bridges Impact Corp. Ordinary Shares;Finanzas;Servicios a empresas
LDI;loanDepot, Inc.;Finanzas;Finanzas Servicios al consumidor
CHS;Chico's FAS, Inc.;Servicios al consumidor;Tiendas de ropa/calzado/accesorios
RMR;The RMR Group Inc.;Finanzas;Bienes inmuebles
STKL;SunOpta, Inc.;NO APLICABLE;Alimentos envasados
IDYA;IDEAYA Biosciences, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
PACX;Pioneer Merger Corp. Ordinary Share;Finanzas;Servicios a empresas
BLDE;Blade Air Mobility, Inc.;Transporte;Aeroespacial
OSUR;OraSure Technologies, Inc.;Sanidad;Instrumentos medicos/odontologicos
ASTS;AST SpaceMobile, Inc.;Servicios al consumidor;Equipos de telecomunicaciones
SRI;Stoneridge, Inc.;Bienes de capital;Autopartes:O.E.M.
OCFT;OneConnect Financial Technology Co., Ltd. American Depositary Shares, each representing three ordinary shares;Tecnologia;#N/D
CHW;Calamos Global Dynamic Income Fund;Finanzas;Gestores de inversiones
RYTM;Rhythm Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
COOL;Corner Growth Acquisition Corp. Ordinary Shares;Finanzas;Servicios a empresas
CIR;CIRCOR International, Inc.;Bienes de capital;Controles de fluidos
SPFI;South Plains Financial, Inc.;Finanzas;Grandes bancos
FCAX;Fortress Capital Acquisition Corp. Ordinary Shares;Finanzas;Servicios a empresas
MOTV;Motive Capital Corp Ordinary Shares;Finanzas;Servicios a empresas
NSTC;Northern Star Investment Corp. III;NO APLICABLE;NO DISPONIBLE
CLW;Clearwater Paper Corporation;Industrias basicas;Papel
SRRK;Scholar Rock Holding Corporation;Sanidad;Biotecnologia Preparados Farmaceuticos
TCDA;Tricida, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
NSTB;Northern Star Investment Corp. II;NO APLICABLE;NO DISPONIBLE
MBAC;M3-Brigade Acquisition II Corp.;NO APLICABLE;NO DISPONIBLE
TLGA;TLG Acquisition One Corp.;NO APLICABLE;NO DISPONIBLE
DSU;Blackrock Debt Strategies Fund, Inc.;Finanzas;Empresas financieras
NSTD;Northern Star Investment Corp. IV;NO APLICABLE;NO DISPONIBLE
AAQC;Accelerate Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
GAIN;Gladstone Investment Corporation Business Development Company;Finanzas;Finanzas/Servicios a inversores
LTCH;Latch, Inc.;Tecnologia;Servicios EDP
FDMT;4D Molecular Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
BH;Biglari Holdings Inc.;Servicios al consumidor;Restaurantes
ARCT;Arcturus Therapeutics Holdings Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
GDYN;Grid Dynamics Holdings, Inc.;Tecnologia;Servicios EDP
CTLP;Cantaloupe, Inc.;Tecnologia;Servicios EDP
BTAI;BioXcel Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
FLIC;First of Long Island Corporation;Finanzas;Grandes bancos
RSI;Rush Street Interactive, Inc.;Servicios al consumidor;Servicios-Misc. Ocio y Tiempo Libre
HPI;John Hancock Preferred Income Fund Common Shares of Beneficial Interest;Finanzas;#N/D
CSTR;CapStar Financial Holdings, Inc.;Finanzas;Grandes bancos
RMBL;RumbleOn, Inc.;Bienes de capital;Posventa de automocion
BWB;Bridgewater Bancshares, Inc.;Finanzas;Grandes bancos
RDIB;Reading International Inc;Servicios al consumidor;Cine/Entretenimiento
AVIR;Atea Pharmaceuticals, Inc.;Bienes de consumo duraderos;Especialidades quimicas
NRP;Natural Resource Partners LP Limited Partnership;Energia;Mineria del carbon
KRUS;Kura Sushi USA, Inc.;Servicios al consumidor;Restaurantes
HVT;Haverty Furniture Companies, Inc.;Servicios al consumidor;Otras tiendas especializadas
SPWH;Sportsman's Warehouse Holdings, Inc.;Servicios al consumidor;Otras tiendas especializadas
RBB;RBB Bancorp;Finanzas;Bancos comerciales
TNYA;Tenaya Therapeutics, Inc.;Bienes de consumo duraderos;Especialidades quimicas
MVBF;MVB Financial Corp.;Finanzas;Instituciones de ahorro
VKI;Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest;Finanzas;Empresas financieras
TRIN;Trinity Capital Inc.;Finanzas;Finanzas/Servicios a inversores
CO;Global Cord Blood Corporation;Sanidad;Atencion sanitaria gestionada
MYN;Blackrock MuniYield New York Quality Fund, Inc.Common Stock;Finanzas;Empresas financieras
GUT;Gabelli Utility Trust;Finanzas;#N/D
WSBF;Waterstone Financial, Inc.;Finanzas;Instituciones de ahorro
TIGR;UP Fintech Holding Ltd American Depositary Share representing fifteen Ordinary Shares;Finanzas;Banqueros/corredores/servicios de inversion
NEXT;NextDecade Corporation;Energia;Produccion de petroleo y gas
NYXH;Nyxoah SA Ordinary Shares;NO APLICABLE;NO DISPONIBLE
LGST;Semper Paratus Acquisition Corporation Ordinary Shares;NO APLICABLE;NO DISPONIBLE
EVN;Eaton Vance Municipal Income Trust;Finanzas;Gestores de inversiones
HNST;The Honest Company, Inc.;Bienes de consumo no duraderos;Grandes almacenes/tiendas especializadas
ECOM;ChannelAdvisor Corporation;Tecnologia;Programas informaticos: Software preempaquetado
COCO;The Vita Coco Company, Inc.;Bienes de consumo no duraderos;Bebidas (Produccion/Distribucion)
MFL;Blackrock MuniHoldings Investment Quality Fund Common Shares of Beneficial Interest;Finanzas;Empresas financieras
DOYU;DouYu International Holdings Limited ADS;Tecnologia;#N/D
MCFT;MasterCraft Boat Holdings, Inc.;Bienes de consumo no duraderos;Productos recreativos/Juguetes
AKBA;Akebia Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
ISD;PGIM High Yield Bond Fund, Inc.;Finanzas;#N/D
FCBC;First Community Bankshares, Inc.;Finanzas;Grandes bancos
CYD;China Yuchai International Limited;Bienes de capital;Construccion/Equipos agricolas/Camiones
NAUT;Nautilus Biotechnolgy, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
ETB;Eaton Vance Tax-Managed Buy-Write Income Fund Eaton Vance Tax-Managed Buy-Write Income Fund Common Shares of Beneficial Interest;Finanzas;#N/D
FDUS;Fidus Investment Corporation;Finanzas;Finanzas/Servicios a inversores
ML;MoneyLion Inc.;Tecnologia;Comercio al por menor Programas informaticos y equipos perifericos
AMYT;Amryt Pharma plc American Depositary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
WTBA;West Bancorporation;Finanzas;Grandes bancos
BZUN;Baozun Inc. American Depositary Shares;Servicios al consumidor;Distribucion por catalogo/especializada
TETC;Tech and Energy Transition Corporation;NO APLICABLE;NO DISPONIBLE
EBF;Ennis, Inc.;Servicios al consumidor;Equipos/suministros/servicios de oficina
CURO;CURO Group Holdings Corp.;Finanzas;Servicios financieros diversificados
VAXX;Vaxxinity, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
NAAC;North Atlantic Acquisition Corporation Ordinary Share;Finanzas;Servicios a empresas
LYLT;Loyalty Ventures Inc.;Tecnologia;Servicios EDP
EBTC;Enterprise Bancorp Inc;Finanzas;Grandes bancos
JYNT;The Joint Corp.;NO APLICABLE;NO DISPONIBLE
CMRX;Chimerix, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
FATH;Fathom Digital Manufacturing Corporation;Tecnologia;Equipos perifericos de ordenador
TRC;Tejon Ranch Co;Finanzas;Grandes bancos
AMOT;Allied Motion Technologies, Inc.;Bienes de capital;Productos electricos
RMNI;Rimini Street, Inc.;Tecnologia;Servicios EDP
EAD;Allspring Income Opportunities Fund Common Shares;Finanzas;Finanzas/Servicios a inversores
OMGA;Omega Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
FTCI;FTC Solar, Inc.;Tecnologia;Semiconductores
STK;Columbia Seligman Premium Technology Growth Fund Inc;Finanzas;Gestores de inversiones
CRESY;Cresud S.A.C.I.F. y A. American Depositary Shares;Finanzas;Bienes inmuebles
TKNO;Alpha Teknova, Inc.;Bienes de consumo duraderos;Especialidades quimicas
CCBG;Capital City Bank Group;Finanzas;Grandes bancos
MCA;Blackrock MuniYield California Quality Fund, Inc.;Finanzas;#N/D
ALVR;AlloVir, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
KE;Kimball Electronics, Inc.;Bienes de capital;Maquinaria industrial/Componentes
IVA;Inventiva S.A. American Depository Shares;Servicios al consumidor;Otros servicios al consumidor
MOD;Modine Manufacturing Company;Bienes de capital;Autopartes:O.E.M.
LHC;Leo Holdings Corp. II Ordinary Shares;Finanzas;Servicios a empresas
MMAT;Meta Materials Inc.;Tecnologia;Semiconductores
FRA;Blackrock Floating Rate Income Strategies Fund Inc;Finanzas;#N/D
TYRA;Tyra Biosciences, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
AMTX;Aemetis, Inc.;Energia;Servicios/equipos petroliferos
TOI;The Oncology Institute, Inc.;Sanidad;Especialidades medicas
OIS;Oil States International, Inc.;Energia;Fabricacion de metales
LEO;BNY Mellon Strategic Municipals, Inc.;Finanzas;#N/D
VITL;Vital Farms, Inc.;NO APLICABLE;Agricultura/Semillas/Molineria
FOSL;Fossil Group, Inc.;Bienes de consumo no duraderos;Especialidades de consumo
ARTNA;Artesian Resources Corporation;Servicios publicos;Suministro de agua
PRPL;Purple Innovation, Inc.;Bienes de consumo duraderos;Mobiliario domestico
IGD;Voya Global Equity Dividend and Premium Opportunity Fund;Finanzas;#N/D
GILT;Gilat Satellite Networks Ltd. Ordinary Shares;Tecnologia;Equipos de radio y television y comunicaciones
RUBY;Rubius Therapeutics, Inc.;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
CCNE;CNB Financial Corporation;Finanzas;Grandes bancos
LEAP;Ribbit LEAP, Ltd. Ordinary Shares;Finanzas;Servicios a empresas
DYN;Dyne Therapeutics, Inc.;Bienes de consumo duraderos;Especialidades quimicas
WDH;Waterdrop Inc. American Depositary Shares;NO APLICABLE;NO DISPONIBLE
MSC;Studio City International Holdings Limited American depositary shares, each representing four ordinary shares;Servicios al consumidor;Hoteles/Restaurantes
SMBC;Southern Missouri Bancorp, Inc.;Finanzas;Bancos
GRIN;Grindrod Shipping Holdings Ltd. Ordinary Shares;Transporte;Transporte maritimo
HIGA;H.I.G. Acquisition Corp. Ordinary Shares;Finanzas;Servicios a empresas
CFVI;CF Acquisition Corp. VI;NO APLICABLE;NO DISPONIBLE
AERI;Aerie Pharmaceuticals, Inc.;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
EYPT;EyePoint Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
INSG;Inseego Corp.;Bienes de capital;Equipos de telecomunicaciones
TTI;Tetra Technologies, Inc.;Energia;Produccion de petroleo y gas
RMT;Royce Micro-Cap Trust, Inc.;Finanzas;Gestores de inversiones
ALTO;Alto Ingredients, Inc.;Industrias basicas;Especialidades industriales
IMTX;Immatics N.V. Ordinary Shares;Sanidad;Biotecnologia Productos biologicos (no sustancias de diagnostico)
FMAO;Farmers & Merchants Bancorp, Inc.;Finanzas;Instituciones de ahorro
DCPH;Deciphera Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
YTPG;TPG Pace Beneficial II Corp. Ordinary Shares;Finanzas;Servicios a empresas
INVZ;Innoviz Technologies Ltd. Ordinary shares;Bienes de capital;Autopartes:O.E.M.
CTIC;CTI BioPharma Corp.;Sanidad;Biotecnologia Preparados Farmaceuticos
ITRN;Ituran Location and Control Ltd. Ordinary Shares;Tecnologia;Componentes electronicos
FSD;First Trust High Income Long Short Fund Common Shares of Beneficial Interest;Finanzas;Gestores de inversiones
FHTX;Foghorn Therapeutics Inc.;Bienes de consumo duraderos;Especialidades quimicas
DMRC;Digimarc Corporation;Tecnologia;Servicios EDP
ICPT;Intercept Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
REV;Revlon, Inc. New;Bienes de consumo no duraderos;Productos envasados/Cosmeticos
UFPT;UFP Technologies, Inc.;Sanidad;Instrumentos medicos/odontologicos
SPNE;SeaSpine Holdings Corporation;Sanidad;Especialidades medicas
CEM;ClearBridge MLP and Midstream Fund Inc.;Finanzas;Gestores de inversiones
BORR;Borr Drilling Limited Common Shares;Energia;Produccion de petroleo y gas
FMTX;Forma Therapeutics Holdings, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
SOL;Renesola Ltd. American Depsitary Shares;Tecnologia;Semiconductores
CALT;Calliditas Therapeutics AB American Depositary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
ASA;ASA Gold and Precious Metals Limited;Industrias basicas;Metales preciosos
HMPT;Home Point Capital, Inc;Finanzas;Finanzas Servicios al consumidor
SRLP;Sprague Resources LP Common Units representing Limited Partner Interests;Energia;Refino de petroleo/Marketing
LL;LL Flooring Holdings, Inc.;Servicios al consumidor;COMERCIO AL POR MENOR: Materiales de construccion
IDEX;Ideanomics, Inc.;Tecnologia;Ingenieria y construccion
INBK;First Internet Bancorp;Finanzas;Grandes bancos
ENPC;Executive Network Partnering Corporation;NO APLICABLE;NO DISPONIBLE
GNTY;Guaranty Bancshares, Inc.;Finanzas;Grandes bancos
VRDN;Viridian Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
TNK;Teekay Tankers Ltd.;Transporte;Transporte maritimo
ARTA;Artisan Acquisition Corp. Ordinary Shares;Finanzas;Servicios a empresas
BHB;Bar Harbor Bankshares, Inc.;Finanzas;Grandes bancos
RM;Regional Management Corp.;Finanzas;Finanzas Servicios al consumidor
RBBN;Ribbon Communications Inc.;Tecnologia;Servicios EDP
NNOX;NANO-X IMAGING LTD Ordinary Shares;Sanidad;Electronica medica
CPAR;Catalyst Partners Acquisition Corp. Ordinary Share;NO APLICABLE;NO DISPONIBLE
SMBK;SmartFinancial, Inc.;Finanzas;Grandes bancos
NR;Newpark Resources, Inc.;Energia;Fabricacion de metales
PCPC;Periphas Capital Partnering Corporation;NO APLICABLE;NO DISPONIBLE
CPAA;Conyers Park III Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
PHAT;Phathom Pharmaceuticals, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
FPH;Five Point Holdings, LLC Common Shares;Servicios al consumidor;Bienes inmuebles
ABUS;Arbutus Biopharma Corporation;NO APLICABLE;NO DISPONIBLE
VPG;Vishay Precision Group, Inc.;Bienes de capital;Maquinaria industrial/Componentes
SFST;Southern First Bancshares, Inc.;Finanzas;Grandes bancos
ETO;Eaton Vance Tax-Advantage Global Dividend Opp;Finanzas;Gestores de inversiones
TPGY;TPG Pace Beneficial Finance Corp. Ordinary Shares;Finanzas;Servicios a empresas
SENEB;Seneca Foods Corp.;Bienes de consumo no duraderos;Alimentos envasados
TWLV;Twelve Seas Investment Company II;NO APLICABLE;NO DISPONIBLE
TDF;Templeton Dragon Fund, Inc.;Finanzas;Finanzas/Servicios a inversores
ICNC;Iconic Sports Acquisition Corp. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
VTIQ;VectoIQ Acquisition Corp. II;NO APLICABLE;NO DISPONIBLE
IVCB;Investcorp Europe Acquisition Corp I Ordinary Shares;NO APLICABLE;NO DISPONIBLE
NDAC;NightDragon Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
MPB;Mid Penn Bancorp;Finanzas;Grandes bancos
TWNT;Tailwind Two Acquisition Corp. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
DLTH;Duluth Holdings Inc.;Servicios al consumidor;Grandes almacenes/tiendas especializadas
GMBT;Queen's Gambit Growth Capital Ordinary Share;Finanzas;Servicios a empresas
PPGH;Poema Global Holdings Corp. Ordinary Share;Finanzas;Servicios a empresas
CNDB;Concord Acquisition Corp III;NO APLICABLE;NO DISPONIBLE
YSG;Yatsen Holding Limited American Depositary Shares, each representing four ordinary shares;Bienes de consumo no duraderos;Productos envasados/Cosmeticos
PSPC;Post Holdings Partnering Corporation Series A;NO APLICABLE;NO DISPONIBLE
ERES;East Resources Acquisition Company;NO APLICABLE;NO DISPONIBLE
FRXB;Forest Road Acquisition Corp. II;NO APLICABLE;NO DISPONIBLE
WALD;Waldencast Acquisition Corp. Ordinary Share;Finanzas;Servicios a empresas
PGEN;Precigen, Inc.;Sanidad;Biotecnologia: Investigacion comercial fisica y biologica
GIIX;Gores Holdings VIII, Inc.;NO APLICABLE;NO DISPONIBLE
GBAB;Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest;Finanzas;Gestores de inversiones
BFAC;Battery Future Acquisition Corp. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
SLCR;Silver Crest Acquisition Corporation Ordinary Share;Finanzas;Servicios a empresas
PRTH;Priority Technology Holdings, Inc.;Tecnologia;Servicios EDP
GLBL;Cartesian Growth Corporation Ordinary Share;Finanzas;Servicios a empresas
AUD;Audacy;Servicios al consumidor;Radiodifusion
SCLE;Broadscale Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
CARE;Carter Bankshares, Inc.;Finanzas;Grandes bancos
HOV;Hovnanian Enterprises, Inc.;Bienes de capital;Construccion de viviendas
LUXA;Lux Health Tech Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
GTX;Garrett Motion Inc.;Bienes de capital;Autopartes:O.E.M.
GSQD;G Squared Ascend I Inc. Ordinary Shares;Finanzas;Servicios a empresas
AVDL;Avadel Pharmaceuticals plc American Depositary Shares;Sanidad;Biotecnologia Preparados Farmaceuticos
GFX;Golden Falcon Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
RIDE;Lordstown Motors Corp.;Bienes de capital;Construccion/Equipos agricolas/Camiones
HIO;Western Asset High Income Opportunity Fund, Inc.;Finanzas;Finanzas/Servicios a inversores
JCIC;Jack Creek Investment Corp. Ordinary Shares;Finanzas;Servicios a empresas
MUJ;Blackrock MuniHoldings New Jersey Quality Fund, Inc.;Finanzas;#N/D
DHHC;DiamondHead Holdings Corp.;NO APLICABLE;NO DISPONIBLE
HCIC;Hennessy Capital Investment Corp. V;NO APLICABLE;NO DISPONIBLE
SCOB;ScION Tech Growth II Ordinary Shares;Finanzas;Servicios a empresas
TWNI;Tailwind International Acquisition Corp. Ordinary Shares;Finanzas;Servicios a empresas
TIPT;Tiptree Inc.;Finanzas;Seguros de accidente y salud
ABST;Absolute Software Corporation;NO APLICABLE;NO DISPONIBLE
OEPW;One Equity Partners Open Water I Corp.;NO APLICABLE;NO DISPONIBLE
SLAC;Social Leverage Acquisition Corp I;NO APLICABLE;NO DISPONIBLE
MNMD;Mind Medicine;NO APLICABLE;NO DISPONIBLE
UROY;Uranium Royalty Corp.;NO APLICABLE;NO DISPONIBLE
NOA;North American Construction Group Ltd. Common Shares;NO APLICABLE;Agricultura/Semillas/Molineria
ACAH;Atlantic Coastal Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
ACII;Atlas Crest Investment Corp. II;NO APLICABLE;NO DISPONIBLE
FACT;Freedom Acquisition I Corp. Ordinary Shares;Finanzas;Servicios a empresas
ROSS;Ross Acquisition Corp II Ordinary Shares;NO APLICABLE;NO DISPONIBLE
IMVT;Immunovant, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
COLI;Colicity Inc.;NO APLICABLE;NO DISPONIBLE
MACC;Mission Advancement Corp.;NO APLICABLE;NO DISPONIBLE
SPGS;Simon Property Group Acquisition Holdings, Inc.;NO APLICABLE;NO DISPONIBLE
MTVC;Motive Capital Corp II Ordinary Shares;NO APLICABLE;NO DISPONIBLE
PTOC;Pine Technology Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
PRLD;Prelude Therapeutics Incorporated;Bienes de consumo duraderos;Especialidades quimicas
VLDR;Velodyne Lidar, Inc.;Bienes de capital;Maquinaria industrial/Componentes
OGI;Organigram Holdings Inc. Common Shares;NO APLICABLE;NO DISPONIBLE
RXRA;RXR Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
TIOA;Tio Tech A Ordinary Share;Finanzas;Servicios a empresas
DGICA;Donegal Group, Inc.;Finanzas;Aseguradoras de Daños
MUX;McEwen Mining Inc.;Industrias basicas;Metales preciosos
LEGA;Lead Edge Growth Opportunities, Ltd Ordinary Shares;Finanzas;Servicios a empresas
FMIV;Forum Merger IV Corporation;NO APLICABLE;NO DISPONIBLE
ZT;Zimmer Energy Transition Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
OPRT;Oportun Financial Corporation;Finanzas;Empresas financieras
BRT;BRT Apartments Corp.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
NCV;Virtus AllianzGI Convertible & Income Fund Common Shares of Beneficial Interest;Finanzas;Empresas financieras
DSX;Diana Shipping inc.;Transporte;Transporte maritimo
DGICB;Donegal Group, Inc.;Finanzas;Aseguradoras de Daños
LOCO;El Pollo Loco Holdings, Inc.;Servicios al consumidor;Restaurantes
CMTL;Comtech Telecommunications Corp.;Tecnologia;Equipos de radio y television y comunicaciones
ACRO;Acropolis Infrastructure Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
NSR;Nomad Royalty Company Ltd. Common Shares;NO APLICABLE;NO DISPONIBLE
TRTL;TortoiseEcofin Acquisition Corp. III Ordinary Shares;NO APLICABLE;NO DISPONIBLE
ENJY;Enjoy Technology, Inc.;Varios;Servicios comerciales diversificados
REAX;The Real Brokerage, Inc. Common Shares;NO APLICABLE;NO DISPONIBLE
RGC;Regencell Bioscience Holdings Limited Ordinary Shares;NO APLICABLE;NO DISPONIBLE
APEI;American Public Education, Inc.;Varios;Otros servicios al consumidor
DJCO;Daily Journal Corp.;Servicios al consumidor;Periodicos/Revistas
KOD;Kodiak Sciences Inc;Sanidad;Biotecnologia Preparados Farmaceuticos
NFYS;Enphys Acquisition Corp. Ordinary Shares;NO APLICABLE;NO DISPONIBLE
LITT;Logistics Innovation Technologies Corp.;NO APLICABLE;NO DISPONIBLE
KTF;DWS Municipal Income Trust;Finanzas;Empresas financieras
SENEA;Seneca Foods Corp.;Bienes de consumo no duraderos;Alimentos envasados
TWND;Tailwind Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
VERU;Veru Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
SUAC;ShoulderUp Technology Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
PRVB;Provention Bio, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
CLSK;CleanSpark, Inc.;Tecnologia;Programas informaticos: Software preempaquetado
FMAC;FirstMark Horizon Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
SHBI;Shore Bancshares Inc;Finanzas;Grandes bancos
FCUV;Focus Universal Inc.;Bienes de capital;Maquinaria industrial/Componentes
SDHY;PGIM Short Duration High Yield Opportunities Fund Common Shares;Finanzas;Finanzas/Servicios a inversores
BCSA;Blockchain Coinvestors Acquisition Corp. I Ordinary Shares;NO APLICABLE;NO DISPONIBLE
RYAM;Rayonier Advanced Materials Inc.;Industrias basicas;Especialidades industriales
MPX;Marine Products Corporation;Bienes de consumo no duraderos;Productos recreativos/Juguetes
ATAX;America First Multifamily Investors, L.P. Beneficial Unit Certificates;Finanzas;Finanzas Servicios al consumidor
OCUL;Ocular Therapeutix, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
VEC;Vectrus, Inc.;NO APLICABLE;NO DISPONIBLE
BBCP;Concrete Pumping Holdings, Inc.;Servicios al consumidor;Militar/Gubernamental/Tecnico
PMO;Putnam Municipal Opportunities Trust;Finanzas;Empresas financieras
UEIC;Universal Electronics Inc.;Bienes de consumo no duraderos;Electronica de consumo y electrodomesticos
GATE;Marblegate Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
HCAR;Healthcare Services Acquisition Corporation;NO APLICABLE;NO DISPONIBLE
LOOP;Loop Industries, Inc.;NO APLICABLE;NO DISPONIBLE
SVFC;SVF Investment Corp. 3 Ordinary Shares;Finanzas;Servicios a empresas
DTOC;Digital Transformation Opportunities Corp.;NO APLICABLE;NO DISPONIBLE
UWMC;UWM Holdings Corporation;Finanzas;Finanzas Servicios al consumidor
AMNB;American National Bankshares, Inc.;Finanzas;Grandes bancos
EVER;EverQuote, Inc.;Tecnologia;Servicios EDP
BYTS;BYTE Acquisition Corp. Ordinary Shares;Finanzas;Servicios a empresas
PNTG;The Pennant Group, Inc.;Sanidad;Gestion de hospitales/enfermeria
VFF;Village Farms International, Inc. Common Shares;NO APLICABLE;NO DISPONIBLE
ATRO;Astronics Corporation;Bienes de capital;Militar/Gubernamental/Tecnico
CLAA;Colonnade Acquisition Corp. II Ordinary Shares;NO APLICABLE;NO DISPONIBLE
TCS;Container Store;Servicios al consumidor;Distribucion por catalogo/especializada
OTLK;Outlook Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
AIP;Arteris, Inc.;Tecnologia;Semiconductores
FACA;Figure Acquisition Corp. I;NO APLICABLE;NO DISPONIBLE
RDUS;Radius Health, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
MHN;Blackrock MuniHoldings New York Quality Fund, Inc.;Finanzas;Empresas financieras
BRKH;BurTech Acquisition Corp.;NO APLICABLE;NO DISPONIBLE
CTT;CatchMark Timber Trust, Inc.;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
BSRR;Sierra Bancorp;Finanzas;Grandes bancos
RFI;Cohen & Steers Total Return Realty Fund, Inc.;Finanzas;Gestores de inversiones
RFMZ;RiverNorth Flexible Municipal Income Fund II, Inc.;Finanzas;#N/D
EFR;Eaton Vance Senior Floating-Rate Fund Common Shares of Beneficial Interest;Finanzas;#N/D
PRSR;Prospector Capital Corp. Ordinary Shares;Finanzas;Servicios a empresas
SIRE;Sisecam Resources LP Common Units representing limited partner interests;Industrias basicas;Especialidades quimicas
XOS;Xos, Inc.;Bienes de capital;Construccion/Equipos agricolas/Camiones
ZEV;Lightning eMotors, Inc;Bienes de capital;Maquinaria industrial/Componentes
YMAB;Y-mAbs Therapeutics, Inc.;Sanidad;Biotecnologia Preparados Farmaceuticos
BFZ;BlackRock California Municipal Income Trust;Finanzas;Empresas financieras
MUDS;Mudrick Capital Acquisition Corporation II;NO APLICABLE;NO DISPONIBLE
PFDR;Pathfinder Acquisition Corporation Ordinary Shares;Finanzas;Servicios a empresas
LX;LexinFintech Holdings Ltd. American Depositary Shares;Finanzas;Finanzas Servicios al consumidor
FOUN;Founder SPAC Ordinary Shares;NO APLICABLE;NO DISPONIBLE
TG;Tredegar Corporation;Bienes de capital;Fabricacion de metales
